code,station_name,opening_date,search_val,latitude,longitude
NS1  EW24,Jurong East,10-Mar-90,JURONG EAST MRT STATION (EW24 / NS1),1.33315281585758,103.742286332403
NS2,Bukit Batok,10-Mar-90,BUKIT BATOK MRT STATION (NS2),1.34903331201636,103.749566478309
NS3,Bukit Gombak,10-Mar-90,BUKIT GOMBAK MRT STATION (NS3),1.35861159094192,103.751790910733
NS4  BP1,Choa Chu Kang,10-Mar-90,CHOA CHU KANG MRT STATION (NS4),1.38536316540225,103.744370779756
NS5,Yew Tee,10-Feb-96,YEW TEE MRT STATION (NS5),1.39753506936297,103.747405150236
NS7,Kranji,10-Feb-96,KRANJI MRT STATION (NS7),1.42508698073648,103.762137459497
NS8,Marsiling,10-Feb-96,MARSILING MRT STATION (NS8),1.43252114855026,103.774074641403
NS9  TE2,Woodlands,10-Feb-96,WOODLANDS MRT STATION (TE2),1.43605761708128,103.787938777173
NS10,Admiralty,10-Feb-96,ADMIRALTY MRT STATION (NS10),1.44058856161847,103.800990519771
NS11,Sembawang,10-Feb-96,SEMBAWANG MRT STATION (NS11),1.44905082158502,103.820046140211
NS12,Canberra,2-Nov-19,CANBERRA MRT STATION (NS12),1.44307664075699,103.829702590959
NS13,Yishun,20-Dec-88,YISHUN MRT STATION (NS13),1.42944308477331,103.835005047246
NS14,Khatib,20-Dec-88,KHATIB MRT STATION (NS14),1.41738337009565,103.832979908243
NS15,Yio Chu Kang,7-Nov-87,YIO CHU KANG MRT STATION (NS15),1.38175587099132,103.84494727118
NS16,Ang Mo Kio,7-Nov-87,ANG MO KIO MRT STATION (NS16),1.36993284962262,103.84955809232
NS17  CC15,Bishan,7-Nov-87,BISHAN MRT STATION (CC15),1.35131580146658,103.84914026532
NS18,Braddell,7-Nov-87,BRADDELL MRT STATION (NS18),1.3404690010277,103.846799083148
NS19,Toa Payoh,7-Nov-87,TOA PAYOH MRT STATION (NS19),1.33262928096888,103.847502198048
NS20,Novena,12-Dec-87,NOVENA MRT STATION (NS20),1.32044079120154,103.843825618748
NS21–DT11,Newton,12-Dec-87,NEWTON MRT STATION (NS21),1.3123189224097,103.837984594021
NS22  TE14,Orchard,12-Dec-87,ORCHARD MRT STATION (TE14),1.30304426265194,103.831375000068
NS23,Somerset,12-Dec-87,SOMERSET MRT STATION (NS23),1.30026416739006,103.839085753124
NS24  NE6  CC1,Dhoby Ghaut,12-Dec-87,DHOBY GHAUT MRT STATION (CC1),1.29891164362677,103.84629250696
NS25  EW13,City Hall,12-Dec-87,CITY HALL MRT STATION (EW13 / NS25),1.29293672227779,103.852585580366
NS26  EW14,Raffles Place,12-Dec-87,RAFFLES PLACE MRT STATION (EW14 / NS26),1.28412561043658,103.851461712342
NS27  CE2  TE20,Marina Bay,4-Nov-89,MARINA BAY MRT STATION (CE2),1.27625146423743,103.855447156279
NS28,Marina South Pier,23-Nov-14,MARINA SOUTH PIER MRT STATION (NS28),1.27102703612006,103.862447515736
EW1,Pasir Ris,16-Dec-89,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763
EW2–DT32,Tampines,16-Dec-89,TAMPINES MRT STATION (DT32),1.35515041120473,103.943009883131
EW3,Simei,16-Dec-89,SIMEI MRT STATION (EW3),1.34319707851829,103.953377214378
EW4  CG,Tanah Merah,4-Nov-89,TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798
EW5,Bedok,4-Nov-89,BEDOK MRT STATION (EW5),1.32397996868158,103.929984495066
EW6,Kembangan,4-Nov-89,KEMBANGAN MRT STATION (EW6),1.3210381335934,103.912947930851
EW7,Eunos,4-Nov-89,EUNOS MRT STATION (EW7),1.31978354916088,103.903225807255
EW8  CC9,Paya Lebar,4-Nov-89,PAYA LEBAR MRT STATION (CC9),1.3172473854035,103.892260753884
EW9,Aljunied,4-Nov-89,ALJUNIED MRT STATION (EW9),1.3164326118157,103.882906044385
EW10,Kallang,4-Nov-89,KALLANG MRT STATION (EW10),1.31148890998818,103.871386541754
EW11,Lavender,4-Nov-89,LAVENDER MRT STATION (EW11),1.30737781747063,103.862767633888
EW12  DT14,Bugis,4-Nov-89,BUGIS MRT STATION (EW12),1.30046508509717,103.855706730933
EW13  NS25,City Hall,12-Dec-87,CITY HALL MRT STATION (EW13 / NS25),1.29293672227779,103.852585580366
EW14  NS26,Raffles Place,12-Dec-87,RAFFLES PLACE MRT STATION (EW14 / NS26),1.28412561043658,103.851461712342
EW15,Tanjong Pagar,12-Dec-87,TANJONG PAGAR MRT STATION (EW15),1.27656131737246,103.845725186759
EW16  NE3  TE17,Outram Park,12-Dec-87,OUTRAM PARK MRT STATION (NE3),1.27972059383553,103.839439862425
EW17,Tiong Bahru,12-Mar-88,TIONG BAHRU MRT STATION (EW17),1.28610253615775,103.827445112419
EW18,Redhill,12-Mar-88,REDHILL MRT STATION (EW18),1.28963453412887,103.81674097205
EW19,Queenstown,12-Mar-88,QUEENSTOWN MRT STATION (EW19),1.29455085184931,103.806077155982
EW20,Commonwealth,12-Mar-88,COMMONWEALTH MRT STATION (EW20),1.30250199924325,103.798228523336
EW21  CC22,Buona Vista,12-Mar-88,BUONA VISTA MRT STATION (EW21),1.3072237082044,103.790253514502
